,Unnamed: 0,Ex-Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Height,Length,Width,Body_Type,Doors,City_Mileage,Gears,Seating_Capacity,Type,Boot_Space,Number_of_Airbags,CNG,CNG + Petrol,Diesel,Electric,Hybrid,Petrol
34,34,438559.0,998,3,35,0.552434456928839,0.5819107025607354,0.6693620844564241,Hatchback,5,14.0,5,5,Automatic,177,1,0,0,0,0,0,1
35,35,374990.0,1198,3,35,0.5644194756554307,0.6217990807616546,0.7349505840071878,Hatchback,5,93.25,5,5,Manual,265,2,0,0,0,0,0,1
36,36,468229.0,1198,3,35,0.5644194756554307,0.6217990807616546,0.7349505840071878,Hatchback,5,93.25,5,5,Manual,265,2,0,0,0,0,0,1
37,37,502492.0,1198,3,35,0.5644194756554307,0.6217990807616546,0.7349505840071878,Hatchback,5,20.6,5,5,Manual,265,2,0,0,0,0,0,1
38,38,499990.0,1198,3,35,0.5644194756554307,0.6217990807616546,0.7349505840071878,Hatchback,5,20.6,5,5,Manual,265,2,0,0,0,0,0,1
39,39,469990.0,1198,3,35,0.5644194756554307,0.6217990807616546,0.7349505840071878,Hatchback,5,20.6,5,5,Manual,265,2,0,0,0,0,0,1
40,40,528464.0,1198,3,35,0.5644194756554307,0.6217990807616546,0.7349505840071878,Hatchback,5,93.25,5,5,Manual,265,2,0,0,0,0,0,1
41,41,553015.0,1198,3,35,0.5644194756554307,0.6217990807616546,0.7349505840071878,Hatchback,5,20.6,5,5,Manual,265,2,0,0,0,0,0,1
42,42,594464.0,1198,3,35,0.5644194756554307,0.6217990807616546,0.7349505840071878,Hatchback,5,93.25,5,5,Manual,265,2,0,0,0,0,0,1
43,43,618015.0,1198,3,35,0.5644194756554307,0.6217990807616546,0.7349505840071878,Hatchback,5,20.6,5,5,Manual,265,2,0,0,0,0,0,1
44,44,422444.0,998,3,35,0.5842696629213483,0.5909389363099147,0.7187780772686433,Hatchback,5,23.0,5,5,Manual,235,2,0,0,0,0,0,1
45,45,480670.0,998,3,60,0.5842696629213483,0.6065331582403152,0.7187780772686433,Hatchback,5,93.25,5,5,Manual,235,2,1,0,0,0,0,0
46,46,429990.0,1086,4,35,0.5842696629213483,0.5925804333552199,0.7389937106918238,Hatchback,4,93.25,5,5,Manual,389,1,0,0,0,0,0,1
47,47,503990.0,1086,4,35,0.5842696629213483,0.5925804333552199,0.7389937106918238,Hatchback,4,93.25,5,5,Manual,389,1,0,0,0,0,0,1
48,48,547990.0,1086,4,35,0.5842696629213483,0.5925804333552199,0.7389937106918238,Hatchback,4,93.25,5,5,Manual,389,1,1,0,0,0,0,0
49,49,530990.0,1086,4,35,0.5842696629213483,0.5925804333552199,0.7389937106918238,Hatchback,4,93.25,5,5,AMT,389,1,0,0,0,0,0,1
50,50,512990.0,1086,4,35,0.5842696629213483,0.5925804333552199,0.7389937106918238,Hatchback,4,93.25,5,5,Manual,389,1,0,0,0,0,0,1
51,51,578990.0,1086,4,60,0.5842696629213483,0.5925804333552199,0.7389937106918238,Hatchback,4,93.25,5,5,Manual,389,1,1,0,0,0,0,0
52,52,570990.0,1086,4,35,0.5842696629213483,0.5925804333552199,0.7389937106918238,Hatchback,4,93.25,5,5,AMT,389,1,0,0,0,0,0,1
53,53,556490.0,1086,4,35,0.5842696629213483,0.5925804333552199,0.7389937106918238,Hatchback,4,93.25,5,5,Manual,389,2,0,0,0,0,0,1
54,54,460000.0,1199,3,35,0.5749063670411985,0.6180236375574524,0.7533692722371967,Hatchback,5,93.25,5,5,Manual,389,2,0,0,0,0,0,1
55,55,520000.0,1199,3,35,0.5749063670411985,0.6149047931713723,0.7398921832884097,Hatchback,5,23.84,5,5,Manual,242,2,0,0,0,0,0,1
56,56,570000.0,1199,3,35,0.5749063670411985,0.6149047931713723,0.7398921832884097,Hatchback,5,23.84,5,5,Manual,242,2,0,0,0,0,0,1
57,57,599000.0,1199,3,35,0.5749063670411985,0.6149047931713723,0.7398921832884097,Hatchback,5,23.84,5,5,Manual,242,2,0,0,0,0,0,1
58,58,610000.0,1199,3,35,0.5749063670411985,0.6149047931713723,0.7398921832884097,Hatchback,5,23.84,5,5,Manual,242,2,0,0,0,0,0,1
59,59,620000.0,1199,3,35,0.5749063670411985,0.6149047931713723,0.7398921832884097,Hatchback,5,23.84,5,5,AMT,240,2,0,0,0,0,0,1
60,60,649000.0,1199,3,35,0.5749063670411985,0.6149047931713723,0.7398921832884097,Hatchback,5,23.84,5,5,AMT,240,2,0,0,0,0,0,1
61,61,660000.0,1199,3,35,0.5749063670411985,0.6149047931713723,0.7398921832884097,Hatchback,5,23.84,5,5,AMT,240,2,0,0,0,0,0,1
62,62,481074.0,998,3,35,0.5842696629213483,0.5909389363099147,0.7187780772686433,Hatchback,5,23.0,5,5,Manual,235,2,0,0,0,0,0,1
63,63,475198.0,998,3,35,0.5842696629213483,0.5909389363099147,0.7187780772686433,Hatchback,5,23.0,5,5,Manual,235,1,0,0,0,0,0,1
64,64,518198.0,998,3,35,0.5842696629213483,0.5909389363099147,0.7187780772686433,Hatchback,5,23.0,5,5,Automatic,235,1,0,0,0,0,0,1
65,65,524074.0,998,3,35,0.5842696629213483,0.5909389363099147,0.7187780772686433,Hatchback,5,23.0,5,5,Automatic,235,2,0,0,0,0,0,1
66,66,499734.0,998,3,35,0.5842696629213483,0.5909389363099147,0.7187780772686433,Hatchback,5,23.0,5,5,Manual,235,1,0,0,0,0,0,1
67,67,540350.0,998,3,35,0.5842696629213483,0.5909389363099147,0.7187780772686433,Hatchback,5,23.0,5,5,Manual,235,2,0,0,0,0,0,1
68,68,542735.0,998,3,35,0.5842696629213483,0.5909389363099147,0.7187780772686433,Hatchback,5,23.0,5,5,Automatic,235,1,0,0,0,0,0,1
69,69,552350.0,998,3,35,0.5842696629213483,0.5909389363099147,0.7187780772686433,Hatchback,5,23.0,5,5,Automatic,235,2,0,0,0,0,0,1
70,70,713898.0,1197,4,32,0.5973782771535581,0.6073539067629679,0.7592093441150045,Hatchback,5,20.89,5,5,AMT,260,2,0,0,0,0,0,1
71,71,666898.0,1197,4,32,0.5973782771535581,0.6073539067629679,0.7592093441150045,Hatchback,5,20.89,5,5,Manual,260,2,0,0,0,0,0,1
72,72,607841.0,1197,4,32,0.5973782771535581,0.6073539067629679,0.7592093441150045,Hatchback,5,20.89,5,5,AMT,260,2,0,0,0,0,0,1
73,73,560841.0,1197,4,32,0.5973782771535581,0.6073539067629679,0.7592093441150045,Hatchback,5,20.89,5,5,Manual,260,2,0,0,0,0,0,1
74,74,483320.0,1197,4,32,0.5973782771535581,0.6073539067629679,0.7592093441150045,Hatchback,5,20.89,5,5,Manual,260,2,0,0,0,0,0,1
75,75,630320.0,1197,4,32,0.5973782771535581,0.6073539067629679,0.7592093441150045,Hatchback,5,15.1,5,5,AMT,260,2,0,0,0,0,0,1
76,76,583320.0,1197,4,32,0.5973782771535581,0.6073539067629679,0.7592093441150045,Hatchback,5,20.89,5,5,Manual,260,2,0,0,0,0,0,1
77,77,495000.0,999,3,40,0.6153558052434457,0.654957321076822,0.7812219227313567,MUV,5,93.25,5,7,Manual,625,2,0,0,0,0,0,1
78,78,559000.0,999,3,40,0.6153558052434457,0.654957321076822,0.7812219227313567,MUV,5,93.25,5,7,Manual,625,2,0,0,0,0,0,1
79,79,609000.0,999,3,40,0.6153558052434457,0.654957321076822,0.7812219227313567,MUV,5,93.25,5,7,Manual,625,2,0,0,0,0,0,1
80,80,663000.0,999,3,40,0.6153558052434457,0.654957321076822,0.7812219227313567,MUV,5,93.25,5,7,Manual,625,4,0,0,0,0,0,1
81,81,506000.0,1173,4,46,0.6479400749063671,0.6516743269862114,0.7053009883198562,SUV,5,13.0,5,5,Manual,454,0,0,0,0,0,0,1
82,82,568623.0,1489,4,46,0.6479400749063671,0.6516743269862114,0.7053009883198562,SUV,5,12.0,5,5,Manual,454,0,0,0,1,0,0,0
83,83,670000.0,1173,4,46,0.6479400749063671,0.6516743269862114,0.7053009883198562,SUV,5,13.0,5,5,Manual,454,0,0,0,0,0,0,1
84,84,603000.0,1489,4,46,0.6479400749063671,0.6516743269862114,0.7053009883198562,SUV,5,12.0,5,5,Manual,454,0,0,0,1,0,0,0
85,85,739000.0,1489,4,46,0.6479400749063671,0.6516743269862114,0.7053009883198562,SUV,5,12.0,5,5,Manual,454,0,0,0,1,0,0,0
86,86,739000.0,1248,4,46,0.6479400749063671,0.6516743269862114,0.7053009883198562,SUV,5,20.0,5,5,Manual,454,0,0,0,1,0,0,0
87,87,520300.0,1197,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,15.1,5,5,Manual,251,2,0,0,0,0,0,1
88,88,581000.0,1197,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,15.1,5,5,Manual,251,2,0,0,0,0,0,1
89,89,647800.0,1364,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,20.3,5,5,Manual,251,2,0,0,1,0,0,0
90,90,630000.0,1197,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,15.1,5,5,Manual,251,2,0,0,0,0,0,1
91,91,745000.0,1364,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,20.3,5,5,Manual,251,2,0,0,1,0,0,0
92,92,704000.0,1364,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,20.3,5,5,Manual,251,2,0,0,1,0,0,0
93,93,597700.0,1197,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,15.1,5,5,Manual,251,2,0,0,0,0,0,1
94,94,720700.0,1364,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,20.3,5,5,Manual,251,2,0,0,1,0,0,0
95,95,641700.0,1197,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,15.1,5,5,Manual,251,2,0,0,0,0,0,1
96,96,756700.0,1364,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,20.3,5,5,Manual,251,2,0,0,1,0,0,0
97,97,558400.0,1197,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,15.1,5,5,Manual,251,2,0,0,0,0,0,1
98,98,686000.0,1364,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,20.3,5,5,Manual,251,2,0,0,1,0,0,0
99,99,662700.0,1197,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,15.1,5,5,Manual,251,2,0,0,0,0,0,1
100,100,777700.0,1364,4,45,0.5655430711610487,0.6375574523965857,0.761455525606469,Hatchback,5,20.3,5,5,Manual,251,2,0,0,1,0,0,0
101,101,525021.0,1198,3,41,0.5730337078651685,0.6239330269205515,0.7479784366576819,Hatchback,5,93.25,5,5,Manual,251,2,0,0,0,0,0,1
102,102,599950.0,1198,3,41,0.5730337078651685,0.6239330269205515,0.7479784366576819,Hatchback,5,19.49,5,5,Manual,251,2,0,0,0,0,0,1
103,103,563133.0,1198,3,41,0.5730337078651685,0.6239330269205515,0.7479784366576819,Hatchback,5,93.25,5,5,Manual,251,2,0,0,0,0,0,1
104,104,787980.0,1248,4,44,0.5850187265917604,0.6278726198292843,0.761455525606469,Hatchback,5,2295.0,5,5,Manual,210,2,0,0,1,0,0,0
105,105,661111.0,1248,4,44,0.5850187265917604,0.6278726198292843,0.761455525606469,Hatchback,5,2295.0,5,5,Manual,210,0,0,0,1,0,0,0
106,106,693798.0,1248,4,44,0.5850187265917604,0.6278726198292843,0.761455525606469,Hatchback,5,2295.0,5,5,Manual,210,0,0,0,1,0,0,0
107,107,719661.0,1248,4,44,0.5850187265917604,0.6278726198292843,0.761455525606469,Hatchback,5,2295.0,5,5,Manual,210,2,0,0,1,0,0,0
108,108,674960.0,1193,4,44,0.5850187265917604,0.6278726198292843,0.761455525606469,Hatchback,5,1757.0,5,5,Manual,210,2,0,0,0,0,0,1
109,109,529035.0,1193,4,44,0.5850187265917604,0.6278726198292843,0.761455525606469,Hatchback,5,1757.0,5,5,Manual,210,0,0,0,0,0,0,1
110,110,590268.0,1193,4,44,0.5850187265917604,0.6278726198292843,0.761455525606469,Hatchback,5,1757.0,5,5,Manual,210,0,0,0,0,0,0,1
111,111,614515.0,1193,4,44,0.5850187265917604,0.6278726198292843,0.761455525606469,Hatchback,5,1757.0,5,5,Manual,210,2,0,0,0,0,0,1
112,112,556130.0,1197,4,43,0.5692883895131086,0.6557780695994747,0.7457322551662174,Sedan,4,93.25,5,5,Manual,407,0,0,1,0,0,0,0
113,113,536859.0,1197,4,43,0.5692883895131086,0.6557780695994747,0.7457322551662174,Sedan,4,93.25,5,5,Manual,407,0,0,0,0,0,0,1
114,114,556130.0,1197,4,43,0.5692883895131086,0.6557780695994747,0.7457322551662174,Sedan,4,93.25,5,5,Manual,407,0,0,0,0,0,0,1
115,115,536859.0,1197,4,43,0.5692883895131086,0.6557780695994747,0.7457322551662174,Sedan,4,93.25,5,5,Manual,407,0,0,1,0,0,0,0
116,116,639616.0,1197,4,43,0.5692883895131086,0.6557780695994747,0.7457322551662174,Sedan,4,93.25,5,5,Manual,407,2,0,0,1,0,0,0
117,117,620297.0,1197,4,43,0.5692883895131086,0.6557780695994747,0.7457322551662174,Sedan,4,93.25,5,5,Manual,407,2,0,0,1,0,0,0
118,118,653523.0,1248,4,42,0.5823970037453183,0.6557780695994747,0.761455525606469,Sedan,4,14.6,5,5,Manual,320,0,0,0,1,0,0,0
